========================================
FPGA-FRIENDLY NETWORK (256-128-64)
Enhanced with lagged features & time index
========================================

Input features: 21 (lag=20 + time index)
Samples after lagging: 116381
Data split: Train=81466, Val=17457, Test=17458

Training Configuration:
  Optimizer: SGDM (momentum 0.9)
  Max epochs: 800
  L2 regularization: 0.0001

=== Starting Training ===
Training on single CPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      78 |        6120 |       00:01:42 |         0.07 |         0.07 |       0.0021 |       0.0025 |          0.0100 |
|      78 |        6150 |       00:01:42 |         0.07 |         0.07 |       0.0026 |       0.0025 |          0.0100 |
|      79 |        6180 |       00:01:43 |         0.06 |         0.07 |       0.0021 |       0.0025 |          0.0100 |
|      79 |        6210 |       00:01:43 |         0.07 |         0.07 |       0.0027 |       0.0025 |          0.0100 |
|      79 |        6240 |       00:01:44 |         0.07 |         0.07 |       0.0023 |       0.0025 |          0.0100 |
|      80 |        6270 |       00:01:44 |         0.07 |         0.07 |       0.0026 |       0.0026 |          0.0100 |
|      80 |        6300 |       00:01:44 |         0.07 |         0.07 |       0.0025 |       0.0025 |          0.0100 |
|      81 |        6330 |       00:01:45 |         0.07 |         0.07 |       0.0028 |       0.0025 |          0.0100 |
|      81 |        6360 |       00:01:45 |         0.07 |         0.07 |       0.0022 |       0.0025 |          0.0100 |
|      81 |        6390 |       00:01:46 |         0.07 |         0.07 |       0.0026 |       0.0025 |          0.0100 |
|      82 |        6420 |       00:01:46 |         0.07 |         0.07 |       0.0022 |       0.0025 |          0.0100 |
|      82 |        6450 |       00:01:47 |         0.07 |         0.07 |       0.0025 |       0.0025 |          0.0100 |
|      83 |        6480 |       00:01:47 |         0.07 |         0.07 |       0.0022 |       0.0025 |          0.0100 |
|      83 |        6510 |       00:01:48 |         0.07 |         0.07 |       0.0023 |       0.0025 |          0.0100 |
|      83 |        6540 |       00:01:48 |         0.07 |         0.07 |       0.0022 |       0.0025 |          0.0100 |
|      84 |        6570 |       00:01:48 |         0.07 |         0.07 |       0.0027 |       0.0025 |          0.0100 |
|      84 |        6600 |       00:01:49 |         0.07 |         0.07 |       0.0025 |       0.0025 |          0.0100 |
|      84 |        6630 |       00:01:49 |         0.07 |         0.07 |       0.0027 |       0.0025 |          0.0100 |
|      85 |        6660 |       00:01:50 |         0.07 |         0.07 |       0.0028 |       0.0025 |          0.0100 |
|      85 |        6690 |       00:01:50 |         0.07 |         0.07 |       0.0023 |       0.0024 |          0.0100 |
|      86 |        6720 |       00:01:51 |         0.07 |         0.07 |       0.0025 |       0.0025 |          0.0100 |
|      86 |        6750 |       00:01:51 |         0.07 |         0.07 |       0.0023 |       0.0026 |          0.0100 |
|      86 |        6780 |       00:01:51 |         0.07 |         0.07 |       0.0024 |       0.0025 |          0.0100 |
|      87 |        6810 |       00:01:52 |         0.07 |         0.07 |       0.0025 |       0.0024 |          0.0100 |
|      87 |        6840 |       00:01:52 |         0.07 |         0.07 |       0.0022 |       0.0025 |          0.0100 |
|      87 |        6870 |       00:01:53 |         0.07 |         0.07 |       0.0027 |       0.0024 |          0.0100 |
|      88 |        6900 |       00:01:53 |         0.07 |         0.07 |       0.0027 |       0.0025 |          0.0100 |
|      88 |        6930 |       00:01:54 |         0.07 |         0.07 |       0.0024 |       0.0025 |          0.0100 |
|      89 |        6960 |       00:01:54 |         0.07 |         0.07 |       0.0025 |       0.0024 |          0.0100 |
|      89 |        6990 |       00:01:55 |         0.07 |         0.07 |       0.0024 |       0.0024 |          0.0100 |
|      89 |        7020 |       00:01:55 |         0.07 |         0.07 |       0.0023 |       0.0024 |          0.0100 |
|      90 |        7050 |       00:01:55 |         0.07 |         0.07 |       0.0027 |       0.0024 |          0.0100 |
|      90 |        7080 |       00:01:56 |         0.07 |         0.07 |       0.0023 |       0.0024 |          0.0100 |
|      90 |        7110 |       00:01:56 |         0.07 |         0.07 |       0.0023 |       0.0024 |          0.0100 |
|      91 |        7140 |       00:01:57 |         0.07 |         0.07 |       0.0025 |       0.0025 |          0.0100 |
|      91 |        7170 |       00:01:57 |         0.06 |         0.07 |       0.0020 |       0.0024 |          0.0100 |
